date,message,riddle,yesterdayriddleanswer
31,"Your positive energy is uplifting!","I'm always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?","A bottle"
32,"You have the strength to overcome any obstacle!","What has many keys but no locks?","Fire"
33,"Your kindness is a gift to others!","I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?","A piano"
34,"You are capable of great things!","What goes up but never comes down?","A map"
35,"Your efforts are making a difference!","I speak without a mouth and hear without ears. I have no body, but I come alive with the wind. What am I?","Age"
36,"You have a unique perspective to offer!","What has roots as nobody sees, is taller than trees, up, up it goes, and yet never grows?","Echo"
37,"Your dedication is admirable!","What can travel around the world while staying in a corner?","A mountain"
38,"You bring out the best in others!","I have keys, but no locks. I have space, but no room. You can enter, but can't go in. What am I?","A stamp"
39,"Your positive attitude is inspiring!","What has a head and a tail that are only made of letters?","A keyboard"
40,"You have the power to make a difference!","I'm not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?","A coin"
41,"Your creativity is boundless!","What building has the most stories?","Fire"
42,"You are stronger than you know!","I'm always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?","A library"
43,"Your resilience is admirable!","What gets wetter as it dries?","Fire"
44,"You have a bright future ahead!","I have keys, but no locks; I have space, but no room; you can enter, but not go in. What am I?","A towel"
45,"Your determination is inspiring!","What has many keys, but no locks; space, but no room; you can enter, but not go in?","A keyboard"
46,"You are capable of amazing things!","I'm tall when I'm young, and I'm short when I'm old. What am I?","A map"
47,"Your kindness makes the world better!","What has a head and a tail that are only made of letters?","A candle"
48,"You have the power to achieve your goals!","I have branches, but no fruit, trunk or leaves. What am I?","A coin"
49,"Your enthusiasm is contagious!","What building has the most stories?","A bank"
50,"You are making a positive impact!","I'm not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?","A library"
51,"Your optimism is refreshing!","What has a neck but no head?","Fire"
52,"You have the strength to overcome challenges!","I'm always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?","A bottle"
53,"Your perseverance is admirable!","What has many keys but no locks?","Fire"
54,"You bring joy to those around you!","I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?","A piano"
55,"Your hard work will pay off!","What goes up but never comes down?","A map"
56,"You are worthy of great things!","I speak without a mouth and hear without ears. I have no body, but I come alive with the wind. What am I?","Age"
57,"Your uniqueness is your strength!","What has roots as nobody sees, is taller than trees, up, up it goes, and yet never grows?","Echo"
58,"You have the courage to face any challenge!","What can travel around the world while staying in a corner?","A mountain"
59,"Your creativity knows no bounds!","I have keys, but no locks. I have space, but no room. You can enter, but can't go in. What am I?","A stamp"
60,"You inspire others more than you know!","What has a head and a tail that are only made of letters?","A keyboard"
61,"Your determination is admirable!","I'm not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?","A coin"
62,"You have a heart of gold!","What building has the most stories?","Fire"
63,"Your resilience is remarkable!","I'm always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?","A library"
64,"You are making progress every day!","What gets wetter as it dries?","Fire"
65,"Your presence makes a positive difference!","I have keys, but no locks; I have space, but no room; you can enter, but not go in. What am I?","A towel"
66,"You have the power to achieve your dreams!","What has many keys, but no locks; space, but no room; you can enter, but not go in?","A keyboard"
67,"Your optimism is refreshing!","I'm tall when I'm young, and I'm short when I'm old. What am I?","A map"
68,"You are capable of overcoming any challenge!","What has a head and a tail that are only made of letters?","A candle"
69,"Your enthusiasm is contagious!","I have branches, but no fruit, trunk or leaves. What am I?","A coin"
70,"You have a bright future ahead!","What building has the most stories?","A bank"
71,"Your perseverance is inspiring!","I'm not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?","A library"
72,"You are making the world a better place!","What has a neck but no head?","Fire"
73,"Your positive energy is uplifting!","I'm always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?","A bottle"
74,"You have the strength to overcome any obstacle!","What has many keys but no locks?","Fire"
75,"Your kindness is a gift to others!","I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?","A piano"
76,"You are capable of great things!","What goes up but never comes down?","A map"
77,"Your efforts are making a difference!","I speak without a mouth and hear without ears. I have no body, but I come alive with the wind. What am I?","Age"
78,"You have a unique perspective to offer!","What has roots as nobody sees, is taller than trees, up, up it goes, and yet never grows?","Echo"
79,"Your dedication is admirable!","What can travel around the world while staying in a corner?","A mountain"
80,"You bring out the best in others!","I have keys, but no locks. I have space, but no room. You can enter, but can't go in. What am I?","A stamp"
81,"Your positive attitude is inspiring!","What has a head and a tail that are only made of letters?","A keyboard"
82,"You have the power to make a difference!","I'm not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?","A coin"
83,"Your creativity is boundless!","What building has the most stories?","Fire"
84,"You are stronger than you know!","I'm always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?","A library"
85,"Your resilience is admirable!","What gets wetter as it dries?","Fire"
86,"You have a bright future ahead!","I have keys, but no locks; I have space, but no room; you can enter, but not go in. What am I?","A towel"
87,"Your determination is inspiring!","What has many keys, but no locks; space, but no room; you can enter, but not go in?","A keyboard"
88,"You are capable of amazing things!","I'm tall when I'm young, and I'm short when I'm old. What am I?","A map"
89,"Your kindness makes the world better!","What has a head and a tail that are only made of letters?","A candle"
90,"You have the power to achieve your goals!","I have branches, but no fruit, trunk or leaves. What am I?","A coin"
91,"Your enthusiasm is contagious!","What building has the most stories?","A bank"
92,"You are making a positive impact!","I'm not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?","A library"
93,"Your optimism is refreshing!","What has a neck but no head?","Fire"
94,"You have the strength to overcome challenges!","I'm always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?","A bottle"
95,"Your perseverance is admirable!","What has many keys but no locks?","Fire"
96,"You bring joy to those around you!","I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?","A piano"
97,"Your hard work will pay off!","What goes up but never comes down?","A map"
98,"You are worthy of great things!","I speak without a mouth and hear without ears. I have no body, but I come alive with the wind. What am I?","Age"
99,"Your uniqueness is your strength!","What has roots as nobody sees, is taller than trees, up, up it goes, and yet never grows?","Echo"
100,"You have the courage to face any challenge!","What can travel around the world while staying in a corner?","A mountain"
101,"Your creativity knows no bounds!","I have keys, but no locks. I have space, but no room. You can enter, but can't go in. What am I?","A stamp"
102,"You inspire others more than you know!","What has a head and a tail that are only made of letters?","A keyboard"
103,"Your determination is admirable!","I'm not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?","A coin"
104,"You have a heart of gold!","What building has the most stories?","Fire"
105,"Your resilience is remarkable!","I'm always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?","A library"
106,"You are making progress every day!","What gets wetter as it dries?","Fire"
107,"Your presence makes a positive difference!","I have keys, but no locks; I have space, but no room; you can enter, but not go in. What am I?","A towel"
108,"You have the power to achieve your dreams!","What has many keys, but no locks; space, but no room; you can enter, but not go in?","A keyboard"
109,"Your optimism is refreshing!","I'm tall when I'm young, and I'm short when I'm old. What am I?","A map"
110,"You are capable of overcoming any challenge!","What has a head and a tail that are only made of letters?","A candle"
111,"Your enthusiasm is contagious!","I have branches, but no fruit, trunk or leaves. What am I?","A coin"
112,"You have a bright future ahead!","What building has the most stories?","A bank"
113,"Your perseverance is inspiring!","I'm not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?","A library"
114,"You are making the world a better place!","What has a neck but no head?","Fire"
115,"Your positive energy is uplifting!","I'm always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?","A bottle"
116,"You have the strength to overcome any obstacle!","What has many keys but no locks?","Fire"
117,"Your kindness is a gift to others!","I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?","A piano"
118,"You are capable of great things!","What goes up but never comes down?","A map"
119,"Your efforts are making a difference!","I speak without a mouth and hear without ears. I have no body, but I come alive with the wind. What am I?","Age"
120,"You have a unique perspective to offer!","What has roots as nobody sees, is taller than trees, up, up it goes, and yet never grows?","Echo"
121,"Your dedication is admirable!","What can travel around the world while staying in a corner?","A mountain"
122,"You bring out the best in others!","I have keys, but no locks. I have space, but no room. You can enter, but can't go in. What am I?","A stamp"
123,"Your positive attitude is inspiring!","What has a head and a tail that are only made of letters?","A keyboard"
124,"You have the power to make a difference!","I'm not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?","A coin"
125,"Your creativity is boundless!","What building has the most stories?","Fire"
126,"You are stronger than you know!","I'm always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?","A library"
127,"Your resilience is admirable!","What gets wetter as it dries?","Fire"
128,"You have a bright future ahead!","I have keys, but no locks; I have space, but no room; you can enter, but not go in. What am I?","A towel"
129,"Your determination is inspiring!","What has many keys, but no locks; space, but no room; you can enter, but not go in?","A keyboard"
130,"You are capable of amazing things!","I'm tall when I'm young, and I'm short when I'm old. What am I?","A map"
131,"Your kindness makes the world better!","What has a head and a tail that are only made of letters?","A candle"
132,"You have the power to achieve your goals!","I have branches, but no fruit, trunk or leaves. What am I?","A coin"
133,"Your enthusiasm is contagious!","What building has the most stories?","A bank"
134,"You are making a positive impact!","I'm not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?","A library"
135,"Your optimism is refreshing!","What has a neck but no head?","Fire"
136,"You have the strength to overcome challenges!","I'm always hungry; I must always be fed. The finger I touch, will soon turn red. What am I?","A bottle"
137,"Your perseverance is admirable!","What has many keys but no locks?","Fire"
138,"You bring joy to those around you!","I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?","A piano"
139,"Your hard work will pay off!","What goes up but never comes down?","A map"
140,"You are worthy of great things!","I speak without a mouth and hear without ears. I have no body, but I come alive with the wind. What am I?","Age"
141,"Your uniqueness is your strength!","What has roots as nobody sees, is taller than trees, up, up it goes, and yet never grows?","Echo"
142,"You have the courage to face any challenge!","What can travel around the world while staying in a corner?","A mountain"
143,"Your creativity knows no bounds!","I have keys, but no locks. I have space, but no room. You can enter, but can't go in. What am I?","A stamp"
144,"You inspire others more than you know!","What has a head and a tail that are only made of letters?","A keyboard"
145,"Your determination is admirable!","I'm not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?","A coin"
146,"You have a heart of gold!","What building has the most stories?","Fire"
147,"Your resilience is remarkable!","I'm always hungry; I must always be fed. The finger I touch will soon turn red. What am I?","A library"
148,"You are making progress every day!","What gets wetter as it dries?","Fire"
149,"Your presence makes a positive difference!","I have keys, but no locks; space, but no room; you can enter, but not go in. What am I?","A towel"
150,"You have the power to achieve your dreams!","What has many keys, but no locks; space, but no room; you can enter, but not go in?","A keyboard"
151,"Your optimism is refreshing!","I'm tall when I'm young and short when I'm old. What am I? ","A map"
152,"You are capable of overcoming any challenge! ","What has a head and tail that are only made of letters? ","A candle" 
153,"Your enthusiasm is contagious!", "I have branches, but no fruit trunk or leaves. What am I?", "A coin" 
154,"You bring out the best in others!", "What building has the most stories?", "A bank" 
155,"Your positive attitude is inspiring!", "I'm not alive, but grow; don't have lungs; need air; don't mouth water kills me.", "A library" 
156,"You inspire others more than you know!", "What has roots as nobody sees?", "Echo" 
157,"Your creativity knows no bounds!", "What can travel around the world while staying in a corner?", "A mountain" 
158,"You are making progress every day!", "I speak without mouth and hear without ears.", "Age" 
159,"Your kindness matters more than you know!", "What gets wetter as it dries?", "Fire" 
160,"Believe in yourself – you've got this!", "I'm tall when I'm young and short when I'm old.", "A towel" 
161,"Today is full of endless possibilities!", "What goes up and never comes down?", "Age" 
162,"You make the world better just by being you!", "I can fly without wings.", "Time" 
163,"You're capable of amazing things!", "The more you take away from me the larger I'll become.", "A hole" 
164,"You're stronger than you think!", "The more there is the less you see.", "Darkness" 
165,"You're doing great things!", "I’m light as a feather yet the strongest person can't hold me for long.", "Breath" 
166,"You're on an incredible journey!", "I’m taken from a mine and shut up in a wooden case from which I'm never released.", "Pencil lead" 
167,"You're making waves!", "I’m full of holes yet hold water.", "Sponge" 
168,"You're unstoppable!", "It's so fragile that saying its name breaks it.", "Silence" 
169,”You're destined for greatness!”, “The more you take away from me the larger I'll become.”,” A hole” 
170,”You're making an impact!”, “I’m light as a feather yet the strongest person can't hold me for long.”,” Breath” 
171,”You're shining bright!”, “The more there is the less you see.”,” Darkness” 
172,”You're creating your own path!”, “It’s so fragile that saying its name breaks it.”,” Silence” 
173,”You're full of potential!”, “I’m taken from a mine and shut up in a wooden case from which I'm never released.”,” Pencil lead” 
174,”You're inspiring change!”, “The more you take away from me the larger I'll become.”,” A hole” 
175,”You're leaving your mark!”, “The more there is the less you see.”,” Darkness” 
176,”You're making progress every day!”, “It’s so fragile that saying its name breaks it.”,” Silence” 
177,”You're capable of great things!”, “I'm light as a feather yet the strongest person can't hold me for long.”,” Breath” 
178,”You're doing amazing things!”, “I’m taken from a mine and shut up in a wooden case from which I'm never released.”,” Pencil lead” 
179,”You're unstoppable!”, “The more there is the less you see.”,” Darkness” 
180,”You're on an incredible journey!”, “It's so fragile that saying its name breaks it.”,” Silence” 
181,”You're creating your own path!”, “The more you take away from me the larger I'll become.”,” A hole” 
182,”You're shining bright!”, “The more there is the less you see.”,” Darkness” 
183,”You're full of potential!”, “It’s so fragile that saying its name breaks it.”,” Silence” 
184,”You're inspiring change!”, “The more there is the less you see.”,” Darkness”  
185,”You're leaving your mark!”, “It’s so fragile that saying its name breaks it.”,” Silence”  
186,“Today is full of endless possibilities!”,“The more there is the less you see.”,“Darkness”
187,“Believe in yourself – you've got this!”,“I’m light as a feather yet strongest person can't hold me for long.”,“Breath”
188,“You make the world better just by being you!”,“It’s so fragile that saying its name breaks it.”,“Silence”
189,“You're capable of amazing things!”,“The more there is the less you see.”,“Darkness”
190,“You're stronger than you think!”,“It's so fragile that saying its name breaks it.”,“Silence”
191,“You've got this!”,“The more there is the less you see.”,“Darkness”
192,“Keep pushing forward!”,“It’s so fragile that saying its name breaks it.”,“Silence”
193,“Stay positive!”,“The more there is the less you see.”,“Darkness”
194,“Keep shining bright!”,“It’s so fragile that saying its name breaks it.”,“Silence”
195,“Embrace your journey!”,“The more there is the less you see.”,“Darkness”
196,“Believe in yourself!”,“It’s so fragile that saying its name breaks it.”,“Silence”
197,“Stay strong!”,“The more there is the less you see.”,“Darkness”
198,“Keep moving forward!”,“It’s so fragile that saying its name breaks it.”，“Silence”
199，“You've got this!”，“The more there is the less you see。”，“Darkness”
200，“Stay focused!”，“It’s so fragile that saying its name breaks it。”，“Silence”
201，“Keep aiming high！”，“The more there is，the less you see。”，“Darkness”
202，“Believe in your dreams！”，“It’s so fragile that saying its name breaks it。”，“Silence”
203，“Stay determined！”，“The more there is，the less you see。”，“Darkness”
204，“Keep striving！”，“It’s so fragile that saying its name breaks it。”，“Silence”
205，“You've got this！”，“The more there is，the less you see。”，“Darkness”
206，“Stay motivated！”，“It’s so fragile that saying its name breaks it。”，“Silence”
207，”Keep pushing forward！”，”The more there is，the less you see。”，”Darkness”
208，”Believe in yourself！”，”It’s so fragile that saying its name breaks it。”，”Silence”
209，”Stay strong！”，”The more there is，the less you see。”，”Darkness”
210，”Keep moving forward！”，”It’s so fragile that saying its name breaks it。”，”Silence”
211，”You've got this！”，”The more there is，the less you see。”，”Darkness”
212，”Stay focused！”，”It’s so fragile that saying its name breaks it。”，”Silence”
213，”Keep aiming high！”，”The more there is，the less you see。”，”Darkness”
214，”Believe in your dreams！”，”It’s so fragile that saying its name breaks it。”，”Silence”
215，”Stay determined！”，”The more there is，the less you see。”，”Darkness”
216，”Keep striving！”，”It’s so fragile that saying its name breaks it。”，”Silence”
217，”You've got this！”，”The more there is，the less you see。”，”Darkness”
218，”Stay motivated！”,” It’s so fragile that saying its name breaks it.","Silence"  
219 ,"Keep pushing forward!" ," The more thereis ,the lessyousee." ,  ," Darkness"  
220 ," Believeinyourdreams!" ," It ’ssofragilethatsayingitsnamebreaksit." ,  ," Silence"  
221 ," Staystrong!" ," Themorethereis ,thelessyousee." ,  ," Darkness"  
222 ," Keepmovingforward!" ," It ’ssofragilethatsayingitsnamebreaksit." ,  ," Silence"  
223 ," You'vegotthis!" ," Themorethereis ,thelessyousee." ,  ," Darkness"  
224 ," Stayfocused!" ," It ’ssofragilethatsayingitsnamebreaksit." ,  ," Silence"  
225 ," Keepaiminghigh!" ," Themorethereis ,thelessyousee." ,  ," Darkness"  
226 ," Believeinyourdreams!" ," It ’ssofragilethatsayingitsnamebreaksit." ,  ," Silence"  
227 ," Staydetermined!" ," Themorethereis ,thelessyousee." ,  ," Darkness"  
228 ," Keepstriving!" ," It ’ssofragilethatsayingitsnamebreaksit." ,  ," Silence"  
229 ," You'vegotthis!" ," Themorethereis ,thelessyousee." ,  ," Darkness"  
230 ," Staymotivated!" ," It ’ssofragilethatsayingitsnamebreaksit." ,  ," Silence"  
231 ," Keepmovingforward!" ," Themorethereis ,thelessyousee." ,  ," Darkness"  
232 ," Believeinyourdreams!" ," It ’ssofragilethatsayingitsnamebreaksit." ,  ," Silence"  
233 ," Staystrong!" ," Themorethereis ,thelessyousee." ,  ," Darkness"  
234 ," Keepaiminghigh!" ," It ’ssofragilethatsayingitsnamebreaksit." ,  ," Silence"  
235 ," You'vegotthis!" ," Themorethereis ,thelessyousee." ,  ," Darkness"  
236 ,' Stayfocused!' ,' It ’ssofragilethatsayingitsnamebreaksit.' ,' Silence'   
237 ,' Keepstriving!' ,' Themorethereis ,thelessyousee.' ,' Darkness'   
238 ,' Believeinyourdreams!' ,' It ’ssofragilethatsayingitsnamebreaksit.' ,' Silence'   
239 ,' Staydetermined!' ,' Themorethereis ,thelessyousee.' ,' Darkness'   
240 ,' Keepmovingforward!' ,' It ’ssofragilethatsayingitsnamebreaksit.' ,' Silence'   
241 ,' You'vegotthis!' ,' Themorethereis ,thelessyousee.' ,' Darkness'   
242 ,' Staymotivated!' ,' It ’ssofragilethatsayingitsnamebreaksit.' ,' Silence'   
243 ,' Keeppushingforward!' ,' Themorethereis ,thelessyousee.' ,' Darkness'   
244 ,' Believeinyourself!' ,' It ’ssofragilethatsayingitsnamebreaksit.' ,' Silence'   
245 ,' Staystrong!' ,' Themorethereis ,thelessyousee.' ,' Darkness'   
246 ,' Keepaiminghigh!' ,' It ’ssofragilethatsayingitsnamebreaksit.' ,' Silence'   
247,' You'vegotthis!' ,' Themorethereis ,thelessyousee.' ,' Darkness'   
248,' Stayfocused!' ,' It ’ssofragilethatsayingitsnamebreaksit.' ,' Silence'   
249,' Keepstriving!' ,' Themorethereis ,thelessyousee.' ,' Darkness'   
250,' Believeinyourdreams!' ,' It ’ssofragilethatsayingitsnamebreaksit.' ,' Silence'   
251,' Staydetermined!' ,' Themorethereis ,thelessyousee.' ,' Darkness'   
252,' Keepmovingforward!' ,' It ’ssofragilethatsayingitsnamebreaksit.' ,' Silence'   
253,' You'vegotthis!' ,' Themorethereis ,thelessyousee.' ,' Darkness'   
254,' Staymotivated!' ,' It ’ssofragilethatsayingitsnamebreaksit.' ,' Silence'   
255,' Keeppushingforward!' ,' Themorethereis ,thelessyousee.' ,' Darkness'   
256,' Believeinyourself!' ,' It ’ssofragilethatsayingitsnamebreaksit.' ,' Silence'   
257,' Staystrong!' ,' Themorethereis ,thelessyousee.' ,' Darkness'   
258,' Keepaiminghigh!' ,' It ’ssofragilethatsayingitsnamebreaksit.' ,' Silence'   
259,' You'vegotthis!' ,' Themorethereis ,thelessyousee.' ,' Darkness'   
260,' Stayfocused!' ,' It ’ssofragilethatsayingitsnamebreaksit.' ',' Silenc'e    
261,' Keepstriving!' ',' Th'moretheres ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '''''''''
262,' Believeinyourdreams!',',' Th'moretheres ',' ',' ',' ',' ',' ',' ',' ',' ',' ',' ',' ',' ',' ',' ',' '
263,' Staydetermined!',',' Th'moretheres ',',' Th'moretheres ',',' Th'moretheres ',',' Th'moretheres ',',' Th'moretheres ',',' Th'moretheres ','
264,"Keep moving forward!","What has many keys but can't open a single lock?","A piano"
265,"You're on the right track!","What has a heart that doesn’t beat?","An artichoke"
266,"You are making a difference!","What can you catch but not throw?","A cold"
267,"Believe in your potential!","What has one eye but cannot see?","A needle"
268,"You are capable of great things!","What begins with T, ends with T, and has T in it?","A teapot"
269,"Your journey is unique!","What can fill a room but takes up no space?","Light"
270,"You are a beacon of hope!","What gets bigger the more you take away from it?","A hole"
271,"Your spirit is unbreakable!","What comes once in a minute, twice in a moment, but never in a thousand years?","The letter M"
272,"You have the power to inspire!","What has hands but can’t clap?","A clock"
273,"Your dreams are within reach!","What has words but never speaks?","A book"
274,"You are destined for greatness!","What runs around the yard without moving?","A fence"
275,"Your heart is full of love!","I have branches, but no fruit, trunk or leaves. What am I?","A bank"
276,"You are making waves!","What can be broken but never held?","A promise"
277,"Your positivity is contagious!","What has many teeth but cannot bite?","A comb"
278,"You are a force for good!","What is so fragile that saying its name breaks it?","Silence"
279,"You shine bright like a star!","I am not alive, but I can die. What am I?","A battery"
280,"You have the courage to succeed!","What has an eye but cannot see?","A needle"
281,"Your potential is limitless!","I can be cracked, made, told, and played. What am I?","A joke"
282,"You are a light in the world!","What has legs but doesn’t walk?","A table"
283,"Your journey is just beginning!","What gets wetter as it dries?","A towel"
284,"You are capable of amazing things!","I fly without wings. I cry without eyes. Whenever I go, darkness flies. What am I?","Clouds"
285,"Your kindness makes a difference!","What begins with an E and only contains one letter?","An envelope"
286,"You bring joy to others!","What can travel around the world while staying in a corner?","A stamp"
287,"Your hard work will pay off!","The more you take, the more you leave behind. What am I?","Footsteps"
288,"You inspire those around you!","I’m tall when I’m young and short when I’m old. What am I?","A candle"
289,"You have a heart of gold!","What has keys but can't open locks?","A piano"
290,"Your determination is inspiring!","I have teeth but cannot bite. What am I?","A comb"
291,"You are making your mark on the world!","What begins with T, ends with T, and has T in it?","A teapot"
292,"Your creativity knows no bounds!","I can be cracked, made, told, and played. What am I? ","A joke" 
293,"You're unstoppable!", "What has hands but can't clap?", "A clock" 
294,"You're doing great things!", "I have branches, but no fruit trunk or leaves. What am I?", "A bank" 
295,"You're creating your own path!", "What runs around the yard without moving?", "A fence" 
296,"You're shining bright!", "What gets bigger the more you take away from it?", "A hole" 
297,"You're full of potential!", "What comes once in a minute, twice in a moment, but never in a thousand years?", "The letter M" 
298,"You're inspiring change!", "What can fill a room but takes up no space?", "Light" 
299,"You're leaving your mark!", "I have roots as nobody sees, is taller than trees, up, up it goes, and yet never grows?", "A mountain" 
300,"You're making progress every day!", "The more you take away from me the larger I'll become.", "A hole" 
301,"You've got this!", "I'm light as a feather yet the strongest person can't hold me for long.", "Breath" 
302,"Stay positive!", "The more there is the less you see.", "Darkness" 
303,"Keep pushing forward!", "It's so fragile that saying its name breaks it.", "Silence" 
304,"Believe in yourself – you've got this!", "I'm tall when I'm young and short when I'm old.", "A candle" 
305,"Today is full of endless possibilities!", "I can fly without wings.", "Time" 
306,"You make the world better just by being you!", "The more you take away from me the larger I'll become.", "A hole" 
307,"You're capable of amazing things!", "The more there is the less you see.", "Darkness" 
308,"You're stronger than you think!", "The more there is the less you see.", "Darkness" 
309,"You're doing amazing things!", "It’s so fragile that saying its name breaks it.", "Silence" 
310,"You're unstoppable!", "The more there is the less you see.", "Darkness" 
311,"You're on an incredible journey!", "It's so fragile that saying its name breaks it.", "Silence" 
312,"You're creating your own path!", "The more there is the less you see.", "Darkness" 
313,"You're shining bright!", "It’s so fragile that saying its name breaks it.", "Silence" 
314,” You’re full of potential!”, “The more there is the less you see.”,” Darkness”  
315,” You’re inspiring change!”, “It’s so fragile that saying its name breaks it.”,” Silence”  
316,” You’re leaving your mark!”, “The more there is the less you see.”,” Darkness”  
317,” You’re making progress every day!”, “It’s so fragile that saying its name breaks it.”,” Silence”  
318,” You’ve got this!”, “The more there is the less you see.”,” Darkness”  
319,” Stay positive!”, “It’s so fragile that saying its name breaks it.”,” Silence”  
320,” Keep pushing forward!”, “The more there is the less you see.”,” Darkness”  
321,” Believe in yourself – you've got this!”, “It’s so fragile that saying its name breaks it.”,” Silence”  
322,” Today is full of endless possibilities!”, “The more there is the less you see.”,” Darkness”  
323,” You make the world better just by being you!”, “It’s so fragile that saying its name breaks it.”,” Silence”  
324,” You’re capable of amazing things!”, “The more there is the less you see.”,” Darkness”  
325,” You’re stronger than you think!”, “It’s so fragile that saying its name breaks it.”,” Silence”  
326,” You’re doing amazing things!”, “The more there is the less you see.”,” Darkness”  
327,” You’re unstoppable!”, “It’s so fragile that saying its name breaks it.”,” Silence”  
328,” You’re on an incredible journey!”, “The more there is the less you see.”,” Darkness”  
329,” You’re creating your own path!”, “It’s so fragile that saying its name breaks it.”,” Silence”  
330,” You’re shining bright!”, “The more there is the less you see.”,” Darkness”  
331,“You’re full of potential!”,“It’s so fragile that saying its name breaks it.”,“Silence”
332,“You’re inspiring change!”,“The more there is the less you see.”,“Darkness”
